timestamp,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint0_vel,joint1_vel,joint2_vel,joint3_vel,joint4_vel,joint5_vel,joint6_vel,joint0_cmd,joint1_cmd,joint2_cmd,joint3_cmd,joint4_cmd,joint5_cmd,joint6_cmd,ee_00,ee_01,ee_02,ee_03,ee_10,ee_11,ee_12,ee_13,ee_20,ee_21,ee_22,ee_23,ee_30,ee_31,ee_32,ee_33
8.568924,0.234472,-0.873786,-0.115622,-2.743631,0.251233,2.786427,-1.037873,0.058048,-0.054969,-0.040401,-0.028436,0.067719,0.098882,-0.076323,0.247685,-0.885656,-0.125452,-2.751709,0.265205,2.780353,-1.054624,-0.235373,0.963554,0.127056,0.000000,0.602757,0.042172,0.796797,0.000000,0.762414,0.264134,-0.590727,0.000000,0.420303,0.050103,0.504055,1.000000
8.609960,0.236961,-0.876039,-0.117370,-2.744971,0.253792,2.788936,-1.040899,0.062431,-0.055705,-0.041524,-0.034161,0.055845,0.034456,-0.072138,0.247854,-0.885678,-0.125632,-2.751725,0.264853,2.780389,-1.054374,-0.237428,0.962910,0.128117,0.000000,0.600078,0.041675,0.798843,0.000000,0.763889,0.266553,-0.587727,0.000000,0.419948,0.050228,0.504633,1.000000
8.650928,0.239465,-0.878134,-0.119175,-2.746343,0.256035,2.789234,-1.043783,0.064956,-0.052675,-0.043922,-0.034555,0.057190,-0.013347,-0.072869,0.248003,-0.885697,-0.125791,-2.751740,0.264542,2.780421,-1.054153,-0.239875,0.962136,0.129364,0.000000,0.599171,0.041883,0.799513,0.000000,0.763837,0.269300,-0.586542,0.000000,0.419470,0.050492,0.504662,1.000000
8.691952,0.241971,-0.880183,-0.120933,-2.747782,0.258141,2.787823,-1.046520,0.063381,-0.052264,-0.042706,-0.037459,0.051846,-0.050900,-0.066259,0.248126,-0.885712,-0.125922,-2.751752,0.264286,2.780447,-1.053971,-0.242637,0.961245,0.130830,0.000000,0.599619,0.042588,0.799140,0.000000,0.762612,0.272354,-0.586725,0.000000,0.418874,0.050897,0.504276,1.000000
8.732955,0.244467,-0.882198,-0.122704,-2.749143,0.260109,2.785441,-1.049124,0.056692,-0.048370,-0.046297,-0.028639,0.048801,-0.060752,-0.069034,0.248253,-0.885728,-0.126057,-2.751764,0.264022,2.780474,-1.053783,-0.245542,0.960287,0.132430,0.000000,0.600755,0.043529,0.798235,0.000000,0.760785,0.275564,-0.587597,0.000000,0.418227,0.051360,0.503722,1.000000
8.772961,0.246551,-0.884106,-0.124419,-2.750319,0.261762,2.782920,-1.051313,0.042739,-0.045884,-0.044828,-0.027914,0.038173,-0.063406,-0.046476,0.248387,-0.885745,-0.126199,-2.751777,0.263744,2.780503,-1.053586,-0.247967,0.959441,0.134036,0.000000,0.601984,0.044202,0.797272,0.000000,0.759026,0.278389,-0.588540,0.000000,0.417623,0.051686,0.503210,1.000000
8.813911,0.247977,-0.885447,-0.125730,-2.751123,0.263044,2.780989,-1.052687,0.020890,-0.023356,-0.025756,-0.010135,0.023960,-0.041783,-0.021361,0.172287,-0.880395,-0.065679,-2.715306,0.192950,2.689990,-0.976272,-0.249468,0.958844,0.135518,0.000000,0.603024,0.044322,0.796479,0.000000,0.757707,0.280422,-0.589274,0.000000,0.417198,0.051869,0.502826,1.000000
8.854907,0.248258,-0.885795,-0.126122,-2.751361,0.263342,2.780120,-1.052934,-0.009397,0.001659,0.004751,0.000344,-0.003390,-0.011642,0.005646,0.112950,-0.860630,-0.010450,-2.660928,0.106891,2.572309,-0.900626,-0.249757,0.958692,0.136056,0.000000,0.603619,0.044283,0.796030,0.000000,0.757138,0.280946,-0.589756,0.000000,0.417067,0.051886,0.502631,1.000000
8.894958,0.246926,-0.885438,-0.125165,-2.750749,0.261861,2.779547,-1.051158,-0.059321,0.016719,0.041968,0.028517,-0.069438,-0.008053,0.071517,0.102146,-0.847010,-0.000517,-2.629678,0.088975,2.514088,-0.868641,-0.248558,0.959100,0.135375,0.000000,0.603928,0.044187,0.795801,0.000000,0.757286,0.279565,-0.590222,0.000000,0.417154,0.051744,0.502779,1.000000
8.935908,0.243217,-0.884134,-0.122074,-2.748320,0.257461,2.778448,-1.046480,-0.116788,0.040654,0.096894,0.082755,-0.137640,-0.031313,0.152667,0.111517,-0.829339,-0.014234,-2.591742,0.093810,2.438617,-0.862713,-0.245618,0.960253,0.132537,0.000000,0.603914,0.044635,0.795787,0.000000,0.758256,0.275505,-0.590885,0.000000,0.417530,0.051466,0.503620,1.000000
8.975988,0.237472,-0.881995,-0.117056,-2.743505,0.250455,2.776156,-1.039167,-0.164692,0.059107,0.146270,0.143653,-0.199436,-0.073375,0.207120,0.138910,-0.801572,-0.049118,-2.544337,0.121139,2.353724,-0.893559,-0.241343,0.961973,0.127839,0.000000,0.603556,0.045640,0.796001,0.000000,0.759911,0.269273,-0.591631,0.000000,0.418181,0.051134,0.505392,1.000000
9.016920,0.229937,-0.879031,-0.110480,-2.736355,0.241217,2.771817,-1.029533,-0.192974,0.084136,0.172971,0.194740,-0.238836,-0.134739,0.255399,0.147326,-0.787730,-0.061124,-2.519602,0.128214,2.312677,-0.911404,-0.235935,0.964096,0.121792,0.000000,0.603568,0.047162,0.795903,0.000000,0.761598,0.261297,-0.593037,0.000000,0.419049,0.050769,0.507864,1.000000
9.056943,0.221522,-0.875062,-0.103276,-2.727466,0.231294,2.764621,-1.019001,-0.224393,0.107322,0.183324,0.233981,-0.251183,-0.212787,0.269366,0.147332,-0.783296,-0.061661,-2.512480,0.127747,2.300647,-0.915733,-0.230119,0.966264,0.115586,0.000000,0.605199,0.049085,0.794547,0.000000,0.762084,0.252798,-0.596089,0.000000,0.420064,0.050449,0.510374,1.000000
9.097901,0.212413,-0.870326,-0.095544,-2.716701,0.220690,2.753367,-1.007701,-0.224348,0.117426,0.188283,0.282282,-0.254737,-0.313954,0.277590,0.149044,-0.765865,-0.067233,-2.487995,0.125878,2.263457,-0.931273,-0.224251,0.968371,0.109311,0.000000,0.609053,0.051705,0.791430,0.000000,0.760761,0.244060,-0.601396,0.000000,0.421108,0.050250,0.512836,1.000000
9.137913,0.203446,-0.865296,-0.088209,-2.704372,0.210904,2.738381,-0.997123,-0.217406,0.130557,0.172142,0.317418,-0.231892,-0.434853,0.252118,0.145881,-0.748754,-0.063277,-2.462156,0.114543,2.221416,-0.941863,-0.218921,0.970191,0.103845,0.000000,0.614768,0.054504,0.786811,0.000000,0.757711,0.236094,-0.608386,0.000000,0.422097,0.050096,0.515289,1.000000
9.178020,0.194995,-0.859291,-0.081653,-2.691143,0.202316,2.717980,-0.987672,-0.202727,0.161670,0.154466,0.358750,-0.190634,-0.572929,0.210717,0.139683,-0.725253,-0.054005,-2.427512,0.095319,2.166145,-0.952494,-0.214494,0.971607,0.099764,0.000000,0.624598,0.057923,0.778783,0.000000,0.750907,0.229361,-0.619300,0.000000,0.422957,0.050089,0.516672,1.000000
9.218918,0.187474,-0.852562,-0.076145,-2.675742,0.195350,2.691730,-0.979998,-0.167490,0.171807,0.114025,0.374995,-0.151438,-0.693615,0.162292,0.134361,-0.704638,-0.049762,-2.397794,0.085985,2.118853,-0.958353,-0.211574,0.972516,0.097109,0.000000,0.637531,0.062019,0.767912,0.000000,0.740799,0.224384,-0.633142,0.000000,0.423683,0.050246,0.517781,1.000000
9.259916,0.181540,-0.844437,-0.072368,-2.659253,0.189379,2.660451,-0.974988,-0.130722,0.203297,0.070046,0.441890,-0.132869,-0.810390,0.099282,0.134944,-0.691111,-0.054903,-2.376520,0.090327,2.086601,-0.970630,-0.210851,0.972868,0.095137,0.000000,0.653917,0.068040,0.753487,0.000000,0.726584,0.221089,-0.650534,0.000000,0.424309,0.050541,0.517845,1.000000
9.299917,0.177328,-0.835682,-0.070219,-2.641668,0.183941,2.625484,-0.972428,-0.089184,0.237249,0.041027,0.454547,-0.138603,-0.900222,0.050224,0.144454,-0.679645,-0.073925,-2.360689,0.110985,2.060499,-1.000795,-0.212431,0.972693,0.093393,0.000000,0.671965,0.076024,0.736658,0.000000,0.709455,0.219250,-0.669778,0.000000,0.424731,0.050956,0.517500,1.000000
